0.000000,0.000000
0.020000,0.019997
0.040000,0.039979
0.060000,0.059928
0.080000,0.079830
0.100000,0.099668
0.120000,0.119427
0.140000,0.139092
0.160000,0.158649
0.180000,0.178081
0.200000,0.197375
0.220000,0.216518
0.240000,0.235496
0.260000,0.254296
0.280000,0.272905
0.300000,0.291313
0.320000,0.309507
0.340000,0.327477
0.360000,0.345214
0.380000,0.362707
0.400000,0.379949
0.420000,0.396930
0.440000,0.413644
0.460000,0.430084
0.480000,0.446244
0.500000,0.462117
0.520000,0.477700
0.540000,0.492988
0.560000,0.507977
0.580000,0.522665
0.600000,0.537050
0.620000,0.551128
0.640000,0.564900
0.660000,0.578363
0.680000,0.591519
0.700000,0.604368
0.720000,0.616909
0.740000,0.629145
0.760000,0.641077
0.780000,0.652707
0.800000,0.664037
0.820000,0.675070
0.840000,0.685809
0.860000,0.696258
0.880000,0.706419
0.900000,0.716298
0.920000,0.725897
0.940000,0.735222
0.960000,0.744277
0.980000,0.753066
1.000000,0.761594
